Country,BETSSON,BWIN,BETWAY,UNIBET,BET365,BETANO,LADBROKES,BOYLESPORTS,SKYBET,BETFRED,888SPORT,7BET,WILLIAMHILL,OPTIBET,EPICBET,SMARKETS,BFX
Sweden,1.8,1.9,1.91,1.84,1.91,1.95,1.91,1.91,2,2,1.91,1.83,1.91,1.9,1.92,2,2
Austria,4,4,3.75,3.8,4,3.5,4,4,3.5,3.5,3.75,3.5,4,3.75,4.1,3.6,4.3
France,11,7,7,7,7,8.5,7,7,9,12,8,6.6,8,10,7,8.6,8.6
Netherlands,13,17,15,17,19,20,17,21,15,9,17,10,17,12,18,28,27
Finland,17,21,19,21,19,20,21,21,19,19,17,19,17,15,18,30,30
Israel,21,26,26,26,29,28,26,34,17,19,26,21,26,20,29,44,44
Estonia,17,34,23,34,36,18,34,29,23,21,29,19,29,20,34,70,75
Switzerland,26,26,23,34,29,40,26,34,26,26,26,26,26,22,29,50,65
Albania,41,41,41,51,56,40,41,51,51,67,41,40,41,41,45,70,85
Malta,65,101,67,81,101,80,101,67,67,67,51,70,67,51,120,210,190
United Kingdom,101,67,81,151,151,200,67,81,81,101,51,80,51,51,150,130,210
Italy,101,101,101,101,151,200,101,101,101,101,81,100,81,51,120,200,190
Ukraine,101,151,101,101,251,100,151,151,151,101,101,150,151,51,300,250,420
Germany,151,151,126,151,251,200,151,251,151,151,151,150,151,51,150,260,410
Spain,175,151,151,176,301,200,151,126,151,126,101,130,101,67,250,260,760
Greece,151,201,251,151,251,150,201,151,201,201,101,200,101,101,200,300,420
Luxembourg,151,201,151,151,251,200,201,126,126,126,151,150,151,67,300,500,490
San Marino,201,151,101,201,301,200,151,251,201,201,101,200,151,101,290,290,550
Denmark,151,151,151,151,251,400,151,151,201,151,151,150,151,101,300,280,480
Poland,151,201,151,126,301,200,201,151,251,151,101,200,101,151,200,500,510
Lithuania,175,201,151,176,301,250,201,201,201,151,151,150,201,151,500,500,610
Norway,201,201,251,176,301,200,201,126,201,201,201,200,201,151,300,300,750
Latvia,151,201,251,151,251,300,201,251,251,201,151,200,151,201,250,290,600
Iceland,201,201,251,201,251,500,201,201,151,151,201,130,151,201,250,500,800
Portugal,201,201,251,251,401,350,201,251,301,201,251,200,201,201,400,1000,1000
Armenia,201,301,251,251,401,500,301,251,251,251,251,200,201,201,400,500,1000 
